excitation,protocol,control_mse,state_mae,late_intervention,overgrip_penalty,dropped_contact,shift_regret,observability_recall,excitation_coverage,update_abstention,utility,weight
e00,constant,0.087025,0.197401,0.218524,0.038200,0.103617,0.078494,0.000000,0.000000,0.000000,-0.052746,10800
e00,ema_tactile,0.094844,0.221591,0.195978,0.051000,0.076078,0.098096,0.216480,0.098000,0.000000,0.054877,10800
e00,excitation_aware,0.055848,0.178759,0.065341,0.050687,0.002820,0.059900,0.526938,0.354000,0.142706,0.687395,10800
e00,friction_proxy,0.104364,0.237240,0.166604,0.112000,0.074645,0.125378,0.228667,0.114000,0.000000,0.017762,10800
e00,old_latent,0.101251,0.236949,0.191269,0.079312,0.064802,0.111159,0.379200,0.200000,0.000000,0.102908,10800
e00,oracle,0.019120,0.106572,0.021259,0.015703,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
e00,raw_tactile,0.112354,0.267917,0.184520,0.077037,0.096398,0.131158,0.175040,0.092000,0.000000,-0.098141,10800
e00,threshold,0.110298,0.257020,0.254399,0.144762,0.106172,0.102877,0.174200,0.074400,0.000000,-0.239542,10800
e01,constant,0.122259,0.241507,0.264428,0.033400,0.136568,0.090268,0.000000,0.000000,0.000000,-0.319865,10800
e01,ema_tactile,0.110426,0.244104,0.235040,0.067000,0.101459,0.105671,0.216480,0.141200,0.000000,-0.119983,10800
e01,excitation_aware,0.057324,0.183298,0.070616,0.051553,0.002811,0.056792,0.572595,0.486000,0.137441,0.723137,10800
e01,friction_proxy,0.111088,0.247235,0.182219,0.112000,0.089364,0.125378,0.228667,0.147600,0.000000,-0.053284,10800
e01,old_latent,0.109421,0.246948,0.209064,0.082392,0.080425,0.113154,0.379200,0.248000,0.000000,0.024002,10800
e01,oracle,0.020575,0.116546,0.021877,0.016215,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
e01,raw_tactile,0.122571,0.280247,0.204120,0.081349,0.115327,0.134950,0.175040,0.120800,0.000000,-0.199600,10800
e01,threshold,0.115666,0.267032,0.259737,0.150306,0.121301,0.102877,0.174200,0.112800,0.000000,-0.293847,10800
e02,constant,0.159532,0.287038,0.315229,0.028600,0.175454,0.102042,0.000000,0.000000,0.000000,-0.566447,10800
e02,ema_tactile,0.128223,0.269347,0.279166,0.083000,0.131713,0.114239,0.216480,0.198800,0.000000,-0.317234,10800
e02,excitation_aware,0.057402,0.187342,0.075571,0.052108,0.001460,0.052567,0.633472,0.662000,0.121831,0.785041,10800
e02,friction_proxy,0.118047,0.258651,0.197760,0.112000,0.104585,0.125378,0.228667,0.192400,0.000000,-0.124649,10800
e02,old_latent,0.117956,0.258500,0.226808,0.086132,0.096681,0.115578,0.379200,0.312000,0.000000,-0.055425,10800
e02,oracle,0.022205,0.127987,0.022515,0.016727,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
e02,raw_tactile,0.133645,0.294524,0.224750,0.086585,0.135713,0.139555,0.175040,0.159200,0.000000,-0.308302,10800
e02,threshold,0.120625,0.278478,0.262119,0.157038,0.135933,0.102877,0.174200,0.151200,0.000000,-0.343952,10800
e03,constant,0.142994,0.267319,0.292390,0.030700,0.157693,0.096891,0.000000,0.000000,0.000000,-0.476105,10800
e03,ema_tactile,0.120452,0.258725,0.259526,0.076000,0.118108,0.110635,0.216480,0.188000,0.000000,-0.226863,10800
e03,excitation_aware,0.056194,0.183502,0.072892,0.051696,0.001037,0.053174,0.622058,0.629000,0.123026,0.784381,10800
e03,friction_proxy,0.115044,0.253888,0.190922,0.112000,0.097844,0.125378,0.228667,0.184000,0.000000,-0.090887,10800
e03,old_latent,0.114291,0.253681,0.218983,0.084592,0.089472,0.114580,0.379200,0.300000,0.000000,-0.017074,10800
e03,oracle,0.021511,0.123212,0.022294,0.016503,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
e03,raw_tactile,0.128881,0.288615,0.215789,0.084429,0.126743,0.137659,0.175040,0.152000,0.000000,-0.259177,10800
e03,threshold,0.118547,0.273701,0.261463,0.154266,0.129622,0.102877,0.174200,0.134400,0.000000,-0.323412,10800
e04,constant,0.147708,0.273007,0.298868,0.030100,0.162699,0.098363,0.000000,0.000000,0.000000,-0.506535,10800
e04,ema_tactile,0.122634,0.261782,0.265048,0.078000,0.121886,0.111665,0.216480,0.195200,0.000000,-0.251294,10800
e04,excitation_aware,0.056203,0.183892,0.073507,0.051761,0.000910,0.052640,0.629667,0.651000,0.120916,0.792225,10800
e04,friction_proxy,0.115893,0.255222,0.192886,0.112000,0.099738,0.125378,0.228667,0.189600,0.000000,-0.099672,10800
e04,old_latent,0.115318,0.255010,0.221241,0.085032,0.091509,0.114865,0.379200,0.308000,0.000000,-0.026831,10800
e04,oracle,0.021723,0.124567,0.022355,0.016567,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
e04,raw_tactile,0.130221,0.290306,0.218320,0.085045,0.129271,0.138201,0.175040,0.156800,0.000000,-0.272401,10800
e04,threshold,0.119111,0.275091,0.261669,0.155058,0.131434,0.102877,0.174200,0.139200,0.000000,-0.329294,10800
e05,constant,0.139254,0.268465,0.286047,0.031300,0.152833,0.095419,0.000000,0.000000,0.000000,-0.452483,10800
e05,ema_tactile,0.123134,0.268874,0.259975,0.074000,0.118869,0.114242,0.216480,0.126800,0.000000,-0.262255,10800
e05,excitation_aware,0.062505,0.199859,0.075716,0.052324,0.008173,0.059120,0.557376,0.442000,0.148231,0.653396,10800
e05,friction_proxy,0.115048,0.259266,0.189031,0.112000,0.095913,0.125378,0.228667,0.136400,0.000000,-0.102082,10800
e05,old_latent,0.115063,0.259048,0.216814,0.087232,0.087448,0.116291,0.379200,0.232000,0.000000,-0.036713,10800
e05,oracle,0.022193,0.128607,0.022134,0.016439,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
e05,raw_tactile,0.130929,0.295994,0.215355,0.088125,0.125799,0.140909,0.175040,0.111200,0.000000,-0.283740,10800
e05,threshold,0.118781,0.279076,0.261179,0.159018,0.127815,0.102877,0.174200,0.129600,0.000000,-0.330639,10800
