object,protocol,control_mse,state_mae,late_intervention,overgrip_penalty,dropped_contact,shift_regret,observability_recall,excitation_coverage,update_abstention,utility,weight
o00,constant,0.130021,0.252381,0.271492,0.032050,0.142668,0.093484,0.000000,0.000000,0.000000,-0.367825,10800
o00,ema_tactile,0.114253,0.250792,0.243023,0.071500,0.106744,0.108507,0.216480,0.158000,0.000000,-0.159312,10800
o00,excitation_aware,0.056246,0.182348,0.070242,0.051198,0.001945,0.055443,0.590351,0.537333,0.129895,0.750858,10800
o00,friction_proxy,0.107445,0.245395,0.179441,0.106200,0.087768,0.118909,0.228667,0.160667,0.000000,-0.025602,10800
o00,old_latent,0.108314,0.245162,0.206072,0.082955,0.078747,0.111922,0.379200,0.266667,0.000000,0.041321,10800
o00,oracle,0.020774,0.118027,0.021805,0.016151,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
o00,raw_tactile,0.123597,0.282154,0.205236,0.082137,0.116725,0.135644,0.175040,0.132000,0.000000,-0.206653,10800
o00,threshold,0.114984,0.268479,0.253784,0.151320,0.120552,0.102877,0.174200,0.123600,0.000000,-0.280980,10800
o01,constant,0.127646,0.250114,0.265191,0.032050,0.138563,0.093425,0.000000,0.000000,0.000000,-0.344296,10800
o01,ema_tactile,0.112442,0.248766,0.237929,0.071500,0.103228,0.108144,0.216480,0.158000,0.000000,-0.137972,10800
o01,excitation_aware,0.055222,0.179925,0.068626,0.050755,0.001425,0.055285,0.590351,0.537333,0.127913,0.760261,10800
o01,friction_proxy,0.103668,0.241207,0.174355,0.102600,0.083676,0.114893,0.228667,0.160667,0.000000,0.007760,10800
o01,old_latent,0.105668,0.240983,0.200098,0.082235,0.074333,0.110464,0.379200,0.266667,0.000000,0.071163,10800
o01,oracle,0.020436,0.115906,0.021648,0.015959,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
o01,raw_tactile,0.121556,0.279472,0.201141,0.081129,0.113218,0.134757,0.175040,0.132000,0.000000,-0.184789,10800
o01,threshold,0.113262,0.266412,0.248446,0.150024,0.116730,0.102877,0.174200,0.123600,0.000000,-0.258200,10800
o02,constant,0.134285,0.256746,0.282223,0.032050,0.150121,0.093616,0.000000,0.000000,0.000000,-0.407131,10800
o02,ema_tactile,0.117443,0.255014,0.251404,0.071500,0.113066,0.109233,0.216480,0.158000,0.000000,-0.197002,10800
o02,excitation_aware,0.057995,0.187165,0.072970,0.051877,0.003075,0.055761,0.590351,0.537333,0.133306,0.733603,10800
o02,friction_proxy,0.114788,0.253537,0.188812,0.113400,0.095512,0.126939,0.228667,0.160667,0.000000,-0.089461,10800
o02,old_latent,0.113385,0.253404,0.216658,0.084395,0.087034,0.114838,0.379200,0.266667,0.000000,-0.014516,10800
o02,oracle,0.021345,0.122133,0.022193,0.016439,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
o02,raw_tactile,0.127341,0.287357,0.212348,0.084153,0.123238,0.137417,0.175040,0.132000,0.000000,-0.246766,10800
o02,threshold,0.117927,0.272564,0.262498,0.153912,0.127159,0.102877,0.174200,0.123600,0.000000,-0.320268,10800
o03,constant,0.136310,0.258882,0.287380,0.032050,0.153801,0.093675,0.000000,0.000000,0.000000,-0.424745,10800
o03,ema_tactile,0.118977,0.256962,0.255564,0.071500,0.116075,0.109595,0.216480,0.158000,0.000000,-0.215192,10800
o03,excitation_aware,0.058900,0.189476,0.074385,0.052213,0.003753,0.055919,0.590351,0.537333,0.134939,0.724751,10800
o03,friction_proxy,0.118496,0.257688,0.193454,0.117000,0.099380,0.130955,0.228667,0.160667,0.000000,-0.121483,10800
o03,old_latent,0.115853,0.257431,0.221802,0.085115,0.091152,0.116296,0.379200,0.266667,0.000000,-0.041884,10800
o03,oracle,0.021638,0.124128,0.022312,0.016583,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
o03,raw_tactile,0.129169,0.289938,0.215858,0.085161,0.126394,0.138303,0.175040,0.132000,0.000000,-0.266445,10800
o03,threshold,0.119426,0.274624,0.266741,0.155208,0.130397,0.102877,0.174200,0.123600,0.000000,-0.339682,10800
o04,constant,0.132552,0.255252,0.277393,0.032050,0.146872,0.093572,0.000000,0.000000,0.000000,-0.390901,10800
o04,ema_tactile,0.116117,0.253499,0.247603,0.071500,0.110249,0.108991,0.216480,0.158000,0.000000,-0.180783,10800
o04,excitation_aware,0.057320,0.185450,0.071751,0.051544,0.002542,0.055655,0.590351,0.537333,0.131819,0.740607,10800
o04,friction_proxy,0.112172,0.250831,0.185013,0.111000,0.092434,0.124262,0.228667,0.160667,0.000000,-0.065797,10800
o04,old_latent,0.111430,0.250551,0.212207,0.083915,0.083646,0.113866,0.379200,0.266667,0.000000,0.007459,10800
o04,oracle,0.021137,0.120705,0.022047,0.016295,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
o04,raw_tactile,0.125888,0.285578,0.209334,0.083481,0.120550,0.136826,0.175040,0.132000,0.000000,-0.230893,10800
o04,threshold,0.116760,0.271226,0.258537,0.153048,0.124259,0.102877,0.174200,0.123600,0.000000,-0.303778,10800
o05,constant,0.137956,0.261362,0.291807,0.032050,0.156839,0.093704,0.000000,0.000000,0.000000,-0.439283,10800
o05,ema_tactile,0.120480,0.259389,0.259210,0.071500,0.118751,0.110079,0.216480,0.158000,0.000000,-0.232490,10800
o05,excitation_aware,0.059793,0.192288,0.075669,0.052542,0.004470,0.056131,0.590351,0.537333,0.136280,0.715495,10800
o05,friction_proxy,0.122914,0.262844,0.198348,0.121800,0.103318,0.136309,0.228667,0.160667,0.000000,-0.158229,10800
o05,old_latent,0.118651,0.262606,0.227341,0.086075,0.095424,0.118240,0.379200,0.266667,0.000000,-0.072676,10800
o05,oracle,0.021997,0.126591,0.022429,0.016727,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
o05,raw_tactile,0.131050,0.293105,0.218937,0.086505,0.129127,0.139485,0.175040,0.132000,0.000000,-0.285814,10800
o05,threshold,0.120670,0.277093,0.270560,0.156936,0.133179,0.102877,0.174200,0.123600,0.000000,-0.357779,10800
