phase,protocol,control_mse,state_mae,late_intervention,overgrip_penalty,dropped_contact,shift_regret,observability_recall,excitation_coverage,update_abstention,utility,weight
p00,constant,0.107559,0.240890,0.244898,0.032050,0.123822,0.093046,0.000000,0.000000,0.000000,-0.233137,10800
p00,ema_tactile,0.108690,0.250778,0.222714,0.071500,0.091010,0.109091,0.216480,0.158000,0.000000,-0.085317,10800
p00,excitation_aware,0.055384,0.185330,0.065910,0.049897,0.002356,0.057116,0.539260,0.477933,0.127584,0.720064,10800
p00,friction_proxy,0.110982,0.257218,0.175638,0.112000,0.088346,0.129539,0.172000,0.160667,0.000000,-0.075252,10800
p00,old_latent,0.107754,0.253757,0.196759,0.084115,0.073760,0.116872,0.345200,0.266667,0.000000,0.039053,10800
p00,oracle,0.020553,0.117927,0.021140,0.015535,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
p00,raw_tactile,0.118823,0.282915,0.189919,0.083761,0.101884,0.137072,0.175040,0.132000,0.000000,-0.146603,10800
p00,threshold,0.114387,0.280115,0.242791,0.153408,0.117332,0.108550,0.112400,0.123600,0.000000,-0.299964,10800
p01,constant,0.102980,0.238152,0.238966,0.032050,0.119844,0.092949,0.000000,0.000000,0.000000,-0.203039,10800
p01,ema_tactile,0.107275,0.250136,0.218095,0.071500,0.087651,0.109091,0.216480,0.158000,0.000000,-0.067741,10800
p01,excitation_aware,0.055059,0.185458,0.064752,0.049594,0.002535,0.057517,0.524835,0.467133,0.127081,0.713582,10800
p01,friction_proxy,0.110918,0.259037,0.174149,0.112000,0.088370,0.130715,0.156000,0.160667,0.000000,-0.082255,10800
p01,old_latent,0.107165,0.254687,0.193971,0.084115,0.072451,0.117607,0.335600,0.266667,0.000000,0.041758,10800
p01,oracle,0.020512,0.117346,0.021082,0.015391,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
p01,raw_tactile,0.117516,0.282316,0.186314,0.083761,0.098589,0.137072,0.175040,0.132000,0.000000,-0.131098,10800
p01,threshold,0.113764,0.281592,0.239401,0.153408,0.115752,0.109542,0.101600,0.123600,0.000000,-0.296992,10800
p02,constant,0.144482,0.262528,0.293535,0.032050,0.158130,0.093822,0.000000,0.000000,0.000000,-0.468931,10800
p02,ema_tactile,0.120025,0.255497,0.260049,0.071500,0.119736,0.109091,0.216480,0.158000,0.000000,-0.229529,10800
p02,excitation_aware,0.058269,0.185963,0.074836,0.052369,0.002496,0.054815,0.622208,0.564333,0.133196,0.752555,10800
p02,friction_proxy,0.113415,0.247996,0.189762,0.112000,0.093714,0.122783,0.264000,0.160667,0.000000,-0.060175,10800
p02,old_latent,0.113616,0.249766,0.220368,0.084115,0.088415,0.112649,0.400400,0.266667,0.000000,-0.009029,10800
p02,oracle,0.021501,0.122675,0.022441,0.016687,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
p02,raw_tactile,0.129715,0.287759,0.219201,0.083761,0.129826,0.137072,0.175040,0.132000,0.000000,-0.275298,10800
p02,threshold,0.118612,0.268478,0.267781,0.153408,0.129256,0.100619,0.198800,0.123600,0.000000,-0.317515,10800
p03,constant,0.147525,0.264290,0.297735,0.032050,0.161260,0.093886,0.000000,0.000000,0.000000,-0.485969,10800
p03,ema_tactile,0.120875,0.255881,0.263204,0.071500,0.122301,0.109091,0.216480,0.158000,0.000000,-0.241727,10800
p03,excitation_aware,0.058996,0.186899,0.075805,0.052646,0.003615,0.055115,0.611388,0.571533,0.136017,0.742578,10800
p03,friction_proxy,0.115154,0.250226,0.193645,0.112000,0.098266,0.123664,0.252000,0.160667,0.000000,-0.086856,10800
p03,old_latent,0.115070,0.251306,0.224045,0.084115,0.092185,0.113200,0.393200,0.266667,0.000000,-0.030299,10800
p03,oracle,0.021563,0.123025,0.022499,0.016783,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
p03,raw_tactile,0.130574,0.288107,0.221669,0.083761,0.132303,0.137072,0.175040,0.132000,0.000000,-0.286173,10800
p03,threshold,0.118909,0.267570,0.269590,0.153408,0.130194,0.099958,0.206000,0.123600,0.000000,-0.318378,10800
p04,constant,0.152181,0.267022,0.304016,0.032050,0.165931,0.093983,0.000000,0.000000,0.000000,-0.509564,10800
p04,ema_tactile,0.122306,0.256508,0.267858,0.071500,0.126109,0.109091,0.216480,0.158000,0.000000,-0.260209,10800
p04,excitation_aware,0.059214,0.186777,0.076869,0.052930,0.003341,0.054715,0.625814,0.582333,0.135873,0.749738,10800
p04,friction_proxy,0.114975,0.248343,0.194477,0.112000,0.097873,0.122489,0.268000,0.160667,0.000000,-0.077502,10800
p04,old_latent,0.115462,0.250401,0.226379,0.084115,0.093434,0.112466,0.402800,0.266667,0.000000,-0.031762,10800
p04,oracle,0.021670,0.123712,0.022724,0.016927,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
p04,raw_tactile,0.131961,0.288712,0.225304,0.083761,0.135938,0.137072,0.175040,0.132000,0.000000,-0.302536,10800
p04,threshold,0.119268,0.266103,0.272487,0.153408,0.131516,0.098967,0.216800,0.123600,0.000000,-0.319517,10800
p05,constant,0.144046,0.261855,0.296336,0.032050,0.159878,0.093789,0.000000,0.000000,0.000000,-0.473541,10800
p05,ema_tactile,0.120542,0.255623,0.262812,0.071500,0.121306,0.109091,0.216480,0.158000,0.000000,-0.238230,10800
p05,excitation_aware,0.058554,0.186225,0.075472,0.052693,0.002867,0.054915,0.618601,0.560733,0.134402,0.747057,10800
p05,friction_proxy,0.114040,0.248681,0.191750,0.112000,0.095519,0.123077,0.260000,0.160667,0.000000,-0.070771,10800
p05,old_latent,0.114233,0.250219,0.222655,0.084115,0.090092,0.112833,0.398000,0.266667,0.000000,-0.018854,10800
p05,oracle,0.021529,0.122804,0.022548,0.016831,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,10800
p05,raw_tactile,0.130011,0.287794,0.220447,0.083761,0.130711,0.137072,0.175040,0.132000,0.000000,-0.279653,10800
p05,threshold,0.118089,0.266540,0.268517,0.153408,0.128228,0.099628,0.209600,0.123600,0.000000,-0.308321,10800
