shift,protocol,control_mse,state_mae,late_intervention,overgrip_penalty,dropped_contact,shift_regret,observability_recall,excitation_coverage,update_abstention,utility,weight
h00,constant,0.125257,0.226380,0.279248,0.032050,0.148109,0.020000,0.000000,0.000000,0.000000,-0.312543,12960
h00,ema_tactile,0.101555,0.217204,0.239026,0.071500,0.103705,0.030233,0.216480,0.158000,0.000000,-0.037075,12960
h00,excitation_aware,0.049532,0.153530,0.069439,0.051281,0.000463,0.020000,0.624316,0.537333,0.118789,0.839310,12960
h00,friction_proxy,0.100361,0.216013,0.177320,0.112000,0.086667,0.051080,0.228667,0.160667,0.000000,0.063780,12960
h00,old_latent,0.093464,0.210236,0.199714,0.080303,0.074168,0.033157,0.379200,0.266667,0.000000,0.178343,12960
h00,oracle,0.017868,0.095520,0.022121,0.016359,0.000000,0.023600,0.990000,0.980000,0.000000,1.000000,12960
h00,raw_tactile,0.106390,0.243754,0.195198,0.078425,0.109952,0.037542,0.175040,0.132000,0.000000,-0.039087,12960
h00,threshold,0.105584,0.237645,0.252543,0.146546,0.119617,0.020000,0.174200,0.123600,0.000000,-0.171919,12960
h01,constant,0.132268,0.252574,0.279231,0.032050,0.148125,0.084923,0.000000,0.000000,0.000000,-0.388210,12960
h01,ema_tactile,0.115022,0.250146,0.248112,0.071500,0.110569,0.098018,0.216480,0.158000,0.000000,-0.169857,12960
h01,excitation_aware,0.056706,0.182622,0.072034,0.051648,0.002142,0.050244,0.593692,0.537333,0.131024,0.750024,12960
h01,friction_proxy,0.111845,0.248101,0.185645,0.112000,0.092987,0.114946,0.228667,0.160667,0.000000,-0.059395,12960
h01,old_latent,0.110201,0.247322,0.212581,0.083763,0.083960,0.102177,0.379200,0.266667,0.000000,0.019241,12960
h01,oracle,0.020843,0.118425,0.022068,0.016359,0.000000,0.024410,0.990000,0.980000,0.000000,1.000000,12960
h01,raw_tactile,0.124321,0.281798,0.209006,0.083269,0.120413,0.122660,0.175040,0.132000,0.000000,-0.214348,12960
h01,threshold,0.115925,0.268106,0.259314,0.152774,0.124830,0.091743,0.174200,0.123600,0.000000,-0.294323,12960
h02,constant,0.134510,0.260767,0.279242,0.032050,0.148190,0.106564,0.000000,0.000000,0.000000,-0.411056,12960
h02,ema_tactile,0.119542,0.260963,0.251452,0.071500,0.113112,0.122579,0.216480,0.158000,0.000000,-0.216054,12960
h02,excitation_aware,0.059062,0.191911,0.072763,0.051782,0.003260,0.061656,0.582556,0.537333,0.135473,0.718819,12960
h02,friction_proxy,0.115770,0.258584,0.188702,0.112000,0.095281,0.138135,0.228667,0.160667,0.000000,-0.102261,12960
h02,old_latent,0.115908,0.259676,0.217327,0.084703,0.087568,0.127983,0.379200,0.266667,0.000000,-0.036852,12960
h02,oracle,0.021785,0.125543,0.022065,0.016359,0.000000,0.024680,0.990000,0.980000,0.000000,1.000000,12960
h02,raw_tactile,0.130257,0.294280,0.213750,0.084585,0.124034,0.153847,0.175040,0.132000,0.000000,-0.274288,12960
h02,threshold,0.119431,0.277968,0.261844,0.154466,0.126717,0.117213,0.174200,0.123600,0.000000,-0.336245,12960
h03,constant,0.136125,0.267512,0.279268,0.032050,0.148126,0.120991,0.000000,0.000000,0.000000,-0.426983,12960
h03,ema_tactile,0.122993,0.269743,0.253931,0.071500,0.115025,0.140009,0.216480,0.158000,0.000000,-0.251054,12960
h03,excitation_aware,0.061025,0.199704,0.073598,0.051882,0.004392,0.069906,0.574204,0.537333,0.138810,0.693167,12960
h03,friction_proxy,0.118672,0.267101,0.190931,0.112000,0.096994,0.154308,0.228667,0.160667,0.000000,-0.134318,12960
h03,old_latent,0.120225,0.269495,0.220839,0.085883,0.090227,0.146648,0.379200,0.266667,0.000000,-0.079410,12960
h03,oracle,0.022580,0.131608,0.022042,0.016359,0.000000,0.024860,0.990000,0.980000,0.000000,1.000000,12960
h03,raw_tactile,0.135014,0.304573,0.217731,0.086237,0.127016,0.176479,0.175040,0.132000,0.000000,-0.322184,12960
h03,threshold,0.122003,0.286055,0.263657,0.156590,0.128105,0.134776,0.174200,0.123600,0.000000,-0.367886,12960
h04,constant,0.137484,0.271714,0.279249,0.032050,0.148171,0.135419,0.000000,0.000000,0.000000,-0.439692,12960
h04,ema_tactile,0.123982,0.272296,0.253089,0.071500,0.114349,0.154619,0.216480,0.158000,0.000000,-0.261587,12960
h04,excitation_aware,0.061573,0.202776,0.073536,0.051848,0.004085,0.076687,0.576988,0.537333,0.137698,0.686659,12960
h04,friction_proxy,0.119589,0.269785,0.190253,0.112000,0.096477,0.168421,0.228667,0.160667,0.000000,-0.145149,12960
h04,old_latent,0.121286,0.271718,0.219688,0.085923,0.089358,0.161391,0.379200,0.266667,0.000000,-0.088932,12960
h04,oracle,0.023029,0.135146,0.022065,0.016359,0.000000,0.025040,0.990000,0.980000,0.000000,1.000000,12960
h04,raw_tactile,0.136185,0.306932,0.216694,0.086293,0.126295,0.194832,0.175040,0.132000,0.000000,-0.334560,12960
h04,threshold,0.122915,0.288891,0.263113,0.156662,0.127627,0.150654,0.174200,0.123600,0.000000,-0.380199,12960
